Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,sustain_app__AMER_Taxi_Limousine_Rate_Mile__c,sustain_app__AMER_Train_Rate_Mile__c,sustain_app__APAC_Taxi_Limousine_Rate_Mile__c,sustain_app__APAC_Train_Rate_Mile__c,sustain_app__Company_Shuttle__c,sustain_app__Currency__c,sustain_app__Data_Source__c,sustain_app__Description__c,sustain_app__Distance_Unit__c,sustain_app__EMEA_Taxi_Limousine_Rate_Mile__c,sustain_app__EMEA_Train_Rate_Mile__c,sustain_app__Emission_Factor_Update_Year__c,sustain_app__Emission_Factors_Other__c,sustain_app__Fuel_Efficiency_Unit__c,sustain_app__Fuel_Efficiency_Value__c,sustain_app__Fuel_Efficiency_Value_mpg__c,sustain_app__GWP_CH4__c,sustain_app__GWP_N2O__c,sustain_app__HS_Australia__c,sustain_app__HS_Austria__c,sustain_app__HS_Canada__c,sustain_app__HS_Caribbean_Region__c,sustain_app__HS_China_Hong_Kong__c,sustain_app__HS_China__c,sustain_app__HS_France__c,sustain_app__HS_Germany_Southern_Region__c,sustain_app__HS_Germany__c,sustain_app__HS_India__c,sustain_app__HS_Indonesia__c,sustain_app__HS_International__c,sustain_app__HS_Japan__c,sustain_app__HS_Malaysia__c,sustain_app__HS_Mexico__c,sustain_app__HS_Russian_Federation__c,sustain_app__HS_Saudi_Arabia__c,sustain_app__HS_Singapore__c,sustain_app__HS_South_Korea__c,sustain_app__HS_Spain__c,sustain_app__HS_Switzerland__c,sustain_app__HS_Thailand__c,sustain_app__HS_Turkey__c,sustain_app__HS_UK_London__c,sustain_app__HS_UK_Other__c,sustain_app__HS_Vietnam__c,sustain_app__Hotel_Stay_Factor__c,sustain_app__Hotel_Stay__c,sustain_app__Maximum_Flight_Length_Medium_Haul__c,sustain_app__Maximum_Flight_Length_Short_Haul__c,sustain_app__Minimum_Flight_Length_Long_Haul__c,sustain_app__Personal_Car_DEFRA__c,sustain_app__Personal_Car_EPA__c,sustain_app__Personal_Car_kg_CO2e_per_Distance__c,sustain_app__Personal_Car_kg_CO2e_per_Mile__c,sustain_app__Shuttle_Diesel_Emission_Factor_gCH4_Mile__c,sustain_app__Shuttle_Diesel_Emission_Factor_gN2O_Mile__c,sustain_app__Taxi_Limo_Rate_Cost_per_Distance__c,sustain_app__Taxi_Limo_Rate_Cost_per_Mile__c,sustain_app__Taxi_Limo_kg_CO2e_per_Distance__c,sustain_app__Taxi_Limo_kg_CO2e_per_Mile__c,sustain_app__Taxi_Limousine_DEFRA__c,sustain_app__Taxi_Limousine_EPA__c,sustain_app__Train_DEFRA__c,sustain_app__Train_EPA__c,sustain_app__Train_Rate_Cost_per_Distance__c,sustain_app__Train_Rate_Cost_per_Mile__c,sustain_app__Train_kg_CO2e_per_Distance__c,sustain_app__Train_kg_CO2e_per_Mile__c,sustain_app__kgCO2_Pass_Km_Long_Haul__c,sustain_app__kgCO2_Pass_Km_Medium_Haul__c,sustain_app__kgCO2_Pass_Km_Short_Haul__c,sustain_app__kgCO2_Pass_Mile_Long_Haul__c,sustain_app__kgCO2_Pass_Mile_Medium_Haul__c,sustain_app__kgCO2_Pass_Mile_Short_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Long_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Medium_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Short_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Long_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Medium_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Short_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Long_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Medium_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Short_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Long_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Medium_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Short_Haul__c,Supplier__c,CH4_Global_Warming_Potential__c,CO2_Global_Warming_Potential__c,N2O_Global_Warming_Potential__c,Supplier_Submitted__c,Economic_Activity__c
a0854000003TuiJAAS,00554000006CoLkAAK,,Chile,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiKAAS,00554000006CoLkAAK,,China,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiLAAS,00554000006CoLkAAK,,Hong Kong,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiMAAS,00554000006CoLkAAK,,Colombia,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiNAAS,00554000006CoLkAAK,,Costa Rica,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiGAAS,00554000006CoLkAAK,,Brazil,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiOAAS,00554000006CoLkAAK,,Czech Republic,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiPAAS,00554000006CoLkAAK,,Egypt,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiQAAS,00554000006CoLkAAK,,France,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiRAAS,00554000006CoLkAAK,,Germany,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiSAAS,00554000006CoLkAAK,,Greece,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiTAAS,00554000006CoLkAAK,,India,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiUAAS,00554000006CoLkAAK,,INDONESIA & SUMATRA,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiVAAS,00554000006CoLkAAK,,Ireland,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiWAAS,00554000006CoLkAAK,,Israel,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiXAAS,00554000006CoLkAAK,,Italy,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiZAAS,00554000006CoLkAAK,,Jordan,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuiaAAC,00554000006CoLkAAK,,Malaysia,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuibAAC,00554000006CoLkAAK,,Mexico,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuicAAC,00554000006CoLkAAK,,Netherlands,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuidAAC,00554000006CoLkAAK,,New Zealand,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuieAAC,00554000006CoLkAAK,,Panama,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuifAAC,00554000006CoLkAAK,,Philippines,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
a0854000003TuigAAC,00554000006CoLkAAK,,Poland,01254000002W7DjAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,00554000006CoLkAAK,2020-11-05T19:53:51.000+0000,,,,,,,,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,0,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
